        Freq    Re(Vin)    Im(Vin)   Re(Vout)   Im(Vout)    Re(Iin)    Im(Iin)   Re(Iout)   Im(Iout)    Re(Pin)    Im(Pin)   Re(Zout)   Im(Zout)   Re(Pout)   Im(Pout)    Re(Zin)    Im(Zin)     Re(Av)     Im(Av)     Re(Ai)     Im(Ai)
          Hz          V          V          V          V          A          A          A          A          W          W       Ohms       Ohms          W          W       Ohms       Ohms                                            
        10.08.067485374323251e-171.9984525382686456e-082.0000000008077792e-071.9984484615991093e-08        0.1-3.9969050765372906e-10-0.101020000000000014.0688719322838726e-107.986027889846827e-201.9984525382686456e-098.144119623719007e-182.038013986236771e-092.0000000000090183e-081.998448541537211e-097.986027889846812e-181.9984525382686453e-070.9998000399920017        0.01.5968862007292168e-193.996105855366217e-09
   2857150.06.585726513842577e-060.0057098710737820296.785713078960283e-060.0057098594256450390.09999986828546971-0.00011419742147564058-0.101019865624836180.00011650420938944856.519230364128394e-090.00057098710737820296.648285492048639e-070.00058229040701138192.651919072197195e-080.00057098596540398816.519239035914384e-070.057098786689699270.9998000399920017        0.01.3035870897649239e-080.001141747384317122
 3061231.42857142867.560140216595327e-060.0061177163760002427.760124793909032e-060.00611770389585883450.09999984879719566-0.00012235432752000485-0.1010198457428990.000124825884935908937.48380540150002e-090.00061177163760002417.631955352681522e-070.00062388231303614682.7483759893950852e-080.00061177041405674897.483816829255802e-070.061177257177408270.9998000399920017        0.01.496464073036553e-080.0012233004834514751
 3265312.85714285738.601754213088926e-060.0065255614290834798.801736665510181e-060.0065255481169381640.09999982796491574-0.00013051122858166958-0.101019824489807040.000133147555399016648.514902210541536e-090.0006525561429083488.683463865188203e-070.00066547419416469592.8514850433109015e-080.00065255483779606228.514917004193417e-070.065255727664873140.9998000399920017        0.01.7026428722642305e-080.0013048535825809467
 3469394.2857142869.710568418487092e-060.0069334062164229799.91054860892751e-060.0069333920722742980.09999980578863163-0.00013866812432845958-0.1010198018655620.000141469220439896969.612520707272909e-090.00069334062164229789.80281094564724e-070.0007070660487373052.961246225545624e-080.00069333923496105469.612539560718996e-070.06933419815207760.9998000399920017        0.01.9221234874463096e-080.001386406681705211
 3673475.71428571461.0886582742480365e-050.0073412507214100221.1086560533851968e-050.007341235745258550.09999978226834516-0.00014682501442820045-0.101019777870165740.000149790879719653291.0776660802296904e-080.00073412507214100221.098999650472303e-060.00074865787509425343.077659527161795e-080.00073412360389085791.0776684498823778e-060.073412668639005360.9998000399920017        0.02.1549059185810397e-080.0014679597808239426
 3877557.1428571431.2129797089286097e-050.0077490949274359241.2329772344500146e-050.0077490791192822710.09999975740405821-0.00015498189854871848-0.101019752503620180.000158112532899405671.2007322400797713e-080.00077490949274359241.2245020447665814e-060.00079024967157582473.200724938668304e-080.00077490794292460681.2007351818498477e-060.077491139125640180.9998000399920017        0.02.4009901656665624e-080.0015495128799368164
 4081638.5714285721.3440211357648504e-050.0081569388178920451.3640183939617754e-050.0081569221777368570.09999973119577285-0.00016313877635784087-0.101019725765927460.000166434179640270161.3304505402542538e-080.00081569388178920451.3567882674311683e-060.00083184143652230583.330442450054768e-080.0008156922504014411.3304541519733269e-060.081569609611965770.9998000399920017        0.02.6603762287009135e-080.0016310659790435068
   4285720.01.4817825440838647e-050.008564782376169781.5017795212474627e-050.0085647649040137310.09999970364349119-0.00017129564752339563-0.10101969765708970.00017475581960336821.4668209701879478e-080.0008564782376169781.4958583079082635e-060.00087343316827398823.466812050741788e-080.00085647652466050271.4668253602517797e-060.085648080097965850.9998000399920017        0.02.9330641076820228e-080.0017126190781436882
 4489801.4285714291.626263922665449e-050.0089726255856605791.6462606050870153e-050.0089726072815043830.09999967474721547-0.0001794525117132116-0.101019668177109210.000183077452449818461.6098435187739432e-080.00089726255856605791.6417121550986557e-060.0009150248651711683.6098337296343756e-080.00089726076404094061.609848806684119e-060.089726550583624150.9998000399920017        0.03.2190538026077165e-080.0017941721772370357
 4693882.8571428571.77746525974209e-050.0093804684297559321.79746163371298e-050.0093804492936003340.09999964450694804-0.00018760936859511866-0.10101963732598840.00019139907784074191.7595181743635888e-080.00093804684297559311.794349797361725e-060.00095661652555414523.759507475087479e-080.0009380449668819071.7595244912692013e-060.09380502106892440.9998000399920017        0.03.518345313475708e-080.0018757252763232234
