       Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),     Re(Ap),     Im(Ap),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
  8.835e+05, -6.303e-02,  8.997e-02, -1.315e-01, -8.878e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.259e+00,  7.222e+01,  1.259e+00,  7.222e+01,        nan,        nan,        nan,        nan
  9.237e+05, -5.171e-02,  7.899e-02, -1.228e-01, -7.801e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.058e+00,  7.705e+01,  1.058e+00,  7.705e+01,        nan,        nan,        nan,        nan
  9.639e+05, -4.287e-02,  6.967e-02, -1.147e-01, -6.888e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.956e-01,  8.180e+01,  8.956e-01,  8.180e+01,        nan,        nan,        nan,        nan
  1.004e+06, -3.587e-02,  6.174e-02, -1.073e-01, -6.111e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.627e-01,  8.648e+01,  7.627e-01,  8.648e+01,        nan,        nan,        nan,        nan
  1.044e+06, -3.027e-02,  5.495e-02, -1.005e-01, -5.444e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.534e-01,  9.111e+01,  6.534e-01,  9.111e+01,        nan,        nan,        nan,        nan
  1.084e+06, -2.574e-02,  4.911e-02, -9.426e-02, -4.870e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.629e-01,  9.568e+01,  5.629e-01,  9.568e+01,        nan,        nan,        nan,        nan
  1.125e+06, -2.204e-02,  4.406e-02, -8.852e-02, -4.373e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.874e-01,  1.002e+02,  4.874e-01,  1.002e+02,        nan,        nan,        nan,        nan
  1.165e+06, -1.898e-02,  3.967e-02, -8.324e-02, -3.941e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.241e-01,  1.047e+02,  4.241e-01,  1.047e+02,        nan,        nan,        nan,        nan
  1.205e+06, -1.645e-02,  3.585e-02, -7.838e-02, -3.564e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.707e-01,  1.091e+02,  3.707e-01,  1.091e+02,        nan,        nan,        nan,        nan
  1.245e+06, -1.433e-02,  3.250e-02, -7.391e-02, -3.233e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.254e-01,  1.136e+02,  3.254e-01,  1.136e+02,        nan,        nan,        nan,        nan
  1.285e+06, -1.254e-02,  2.955e-02, -6.980e-02, -2.942e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.868e-01,  1.180e+02,  2.868e-01,  1.180e+02,        nan,        nan,        nan,        nan
  1.325e+06, -1.103e-02,  2.695e-02, -6.600e-02, -2.684e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.538e-01,  1.223e+02,  2.538e-01,  1.223e+02,        nan,        nan,        nan,        nan
  1.365e+06, -9.736e-03,  2.465e-02, -6.248e-02, -2.455e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.253e-01,  1.267e+02,  2.253e-01,  1.267e+02,        nan,        nan,        nan,        nan
  1.406e+06, -8.631e-03,  2.260e-02, -5.923e-02, -2.252e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.008e-01,  1.310e+02,  2.008e-01,  1.310e+02,        nan,        nan,        nan,        nan
  1.446e+06, -7.679e-03,  2.077e-02, -5.622e-02, -2.070e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.795e-01,  1.353e+02,  1.795e-01,  1.353e+02,        nan,        nan,        nan,        nan
  1.486e+06, -6.856e-03,  1.913e-02, -5.342e-02, -1.908e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.609e-01,  1.396e+02,  1.609e-01,  1.396e+02,        nan,        nan,        nan,        nan
  1.526e+06, -6.141e-03,  1.766e-02, -5.082e-02, -1.762e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.446e-01,  1.438e+02,  1.446e-01,  1.438e+02,        nan,        nan,        nan,        nan
  1.566e+06, -5.518e-03,  1.634e-02, -4.840e-02, -1.630e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.304e-01,  1.481e+02,  1.304e-01,  1.481e+02,        nan,        nan,        nan,        nan
  1.606e+06, -4.972e-03,  1.514e-02, -4.614e-02, -1.511e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.179e-01,  1.523e+02,  1.179e-01,  1.523e+02,        nan,        nan,        nan,        nan
  1.647e+06, -4.492e-03,  1.406e-02, -4.404e-02, -1.403e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.068e-01,  1.566e+02,  1.068e-01,  1.566e+02,        nan,        nan,        nan,        nan
  1.687e+06, -4.069e-03,  1.308e-02, -4.207e-02, -1.306e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  9.702e-02,  1.608e+02,  9.702e-02,  1.608e+02,        nan,        nan,        nan,        nan
  1.727e+06, -3.695e-03,  1.219e-02, -4.023e-02, -1.217e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.832e-02,  1.650e+02,  8.832e-02,  1.650e+02,        nan,        nan,        nan,        nan
  1.767e+06, -3.363e-03,  1.138e-02, -3.850e-02, -1.136e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.057e-02,  1.692e+02,  8.057e-02,  1.692e+02,        nan,        nan,        nan,        nan
  1.807e+06, -3.068e-03,  1.064e-02, -3.688e-02, -1.062e-02,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.365e-02,  1.734e+02,  7.365e-02,  1.734e+02,        nan,        nan,        nan,        nan
  1.847e+06, -2.805e-03,  9.958e-03, -3.536e-02, -9.945e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.746e-02,  1.775e+02,  6.746e-02,  1.775e+02,        nan,        nan,        nan,        nan
  1.888e+06, -2.569e-03,  9.336e-03, -3.393e-02, -9.325e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.191e-02,  1.817e+02,  6.191e-02,  1.817e+02,        nan,        nan,        nan,        nan
  1.928e+06, -2.358e-03,  8.764e-03, -3.258e-02, -8.755e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.691e-02,  1.859e+02,  5.691e-02,  1.859e+02,        nan,        nan,        nan,        nan
  1.968e+06, -2.168e-03,  8.239e-03, -3.131e-02, -8.230e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.241e-02,  1.900e+02,  5.241e-02,  1.900e+02,        nan,        nan,        nan,        nan
  2.008e+06, -1.997e-03,  7.754e-03, -3.012e-02, -7.747e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.835e-02,  1.942e+02,  4.835e-02,  1.942e+02,        nan,        nan,        nan,        nan
  2.048e+06, -1.842e-03,  7.307e-03, -2.898e-02, -7.301e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.467e-02,  1.983e+02,  4.467e-02,  1.983e+02,        nan,        nan,        nan,        nan
  2.088e+06, -1.702e-03,  6.893e-03, -2.791e-02, -6.888e-03,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.133e-02,  2.025e+02,  4.133e-02,  2.025e+02,        nan,        nan,        nan,        nan
