       Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),     Re(Ap),     Im(Ap),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
  4.056e+06, -1.170e-04,  9.408e-04, -7.566e-03, -9.407e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.906e-03,  4.021e+02,  2.906e-03,  4.021e+02,        nan,        nan,        nan,        nan
  4.096e+06, -1.124e-04,  9.134e-04, -7.419e-03, -9.133e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.794e-03,  4.062e+02,  2.794e-03,  4.062e+02,        nan,        nan,        nan,        nan
  4.137e+06, -1.081e-04,  8.870e-04, -7.277e-03, -8.870e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.687e-03,  4.102e+02,  2.687e-03,  4.102e+02,        nan,        nan,        nan,        nan
  4.177e+06, -1.040e-04,  8.617e-04, -7.139e-03, -8.616e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.585e-03,  4.142e+02,  2.585e-03,  4.142e+02,        nan,        nan,        nan,        nan
  4.217e+06, -1.001e-04,  8.373e-04, -7.004e-03, -8.372e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.488e-03,  4.183e+02,  2.488e-03,  4.183e+02,        nan,        nan,        nan,        nan
  4.257e+06, -9.635e-05,  8.138e-04, -6.874e-03, -8.138e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.396e-03,  4.223e+02,  2.396e-03,  4.223e+02,        nan,        nan,        nan,        nan
  4.297e+06, -9.278e-05,  7.912e-04, -6.747e-03, -7.912e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.307e-03,  4.264e+02,  2.307e-03,  4.264e+02,        nan,        nan,        nan,        nan
  4.337e+06, -8.938e-05,  7.694e-04, -6.623e-03, -7.694e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.223e-03,  4.304e+02,  2.223e-03,  4.304e+02,        nan,        nan,        nan,        nan
  4.378e+06, -8.614e-05,  7.484e-04, -6.503e-03, -7.484e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.143e-03,  4.344e+02,  2.143e-03,  4.344e+02,        nan,        nan,        nan,        nan
  4.418e+06, -8.304e-05,  7.282e-04, -6.386e-03, -7.282e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.066e-03,  4.385e+02,  2.066e-03,  4.385e+02,        nan,        nan,        nan,        nan
  4.458e+06, -8.008e-05,  7.087e-04, -6.272e-03, -7.087e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.992e-03,  4.425e+02,  1.992e-03,  4.425e+02,        nan,        nan,        nan,        nan
  4.498e+06, -7.725e-05,  6.899e-04, -6.162e-03, -6.899e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.922e-03,  4.466e+02,  1.922e-03,  4.466e+02,        nan,        nan,        nan,        nan
  4.538e+06, -7.454e-05,  6.717e-04, -6.054e-03, -6.717e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.855e-03,  4.506e+02,  1.855e-03,  4.506e+02,        nan,        nan,        nan,        nan
  4.578e+06, -7.195e-05,  6.542e-04, -5.949e-03, -6.542e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.791e-03,  4.546e+02,  1.791e-03,  4.546e+02,        nan,        nan,        nan,        nan
  4.618e+06, -6.947e-05,  6.373e-04, -5.846e-03, -6.373e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.729e-03,  4.587e+02,  1.729e-03,  4.587e+02,        nan,        nan,        nan,        nan
  4.659e+06, -6.710e-05,  6.210e-04, -5.746e-03, -6.209e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.670e-03,  4.627e+02,  1.670e-03,  4.627e+02,        nan,        nan,        nan,        nan
  4.699e+06, -6.483e-05,  6.052e-04, -5.649e-03, -6.052e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.614e-03,  4.667e+02,  1.614e-03,  4.667e+02,        nan,        nan,        nan,        nan
  4.739e+06, -6.265e-05,  5.899e-04, -5.554e-03, -5.899e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.560e-03,  4.708e+02,  1.560e-03,  4.708e+02,        nan,        nan,        nan,        nan
  4.779e+06, -6.057e-05,  5.752e-04, -5.462e-03, -5.752e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.508e-03,  4.748e+02,  1.508e-03,  4.748e+02,        nan,        nan,        nan,        nan
  4.819e+06, -5.857e-05,  5.609e-04, -5.372e-03, -5.609e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.459e-03,  4.788e+02,  1.459e-03,  4.788e+02,        nan,        nan,        nan,        nan
  4.859e+06, -5.665e-05,  5.471e-04, -5.284e-03, -5.471e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.411e-03,  4.829e+02,  1.411e-03,  4.829e+02,        nan,        nan,        nan,        nan
  4.900e+06, -5.481e-05,  5.338e-04, -5.198e-03, -5.338e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.365e-03,  4.869e+02,  1.365e-03,  4.869e+02,        nan,        nan,        nan,        nan
  4.940e+06, -5.305e-05,  5.209e-04, -5.114e-03, -5.208e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.321e-03,  4.909e+02,  1.321e-03,  4.909e+02,        nan,        nan,        nan,        nan
  4.980e+06, -5.135e-05,  5.084e-04, -5.033e-03, -5.083e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.279e-03,  4.950e+02,  1.279e-03,  4.950e+02,        nan,        nan,        nan,        nan
  5.020e+06, -4.972e-05,  4.963e-04, -4.953e-03, -4.962e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.239e-03,  4.990e+02,  1.239e-03,  4.990e+02,        nan,        nan,        nan,        nan
  5.060e+06, -4.816e-05,  4.845e-04, -4.875e-03, -4.845e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.200e-03,  5.030e+02,  1.200e-03,  5.030e+02,        nan,        nan,        nan,        nan
  5.100e+06, -4.666e-05,  4.732e-04, -4.799e-03, -4.732e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.163e-03,  5.071e+02,  1.163e-03,  5.071e+02,        nan,        nan,        nan,        nan
  5.141e+06, -4.521e-05,  4.622e-04, -4.724e-03, -4.622e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.127e-03,  5.111e+02,  1.127e-03,  5.111e+02,        nan,        nan,        nan,        nan
  5.181e+06, -4.382e-05,  4.515e-04, -4.652e-03, -4.515e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.092e-03,  5.151e+02,  1.092e-03,  5.151e+02,        nan,        nan,        nan,        nan
  5.221e+06, -4.249e-05,  4.412e-04, -4.581e-03, -4.412e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.059e-03,  5.192e+02,  1.059e-03,  5.192e+02,        nan,        nan,        nan,        nan
  5.261e+06, -4.120e-05,  4.311e-04, -4.511e-03, -4.311e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.027e-03,  5.232e+02,  1.027e-03,  5.232e+02,        nan,        nan,        nan,        nan
  5.301e+06, -3.997e-05,  4.214e-04, -4.444e-03, -4.214e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  9.962e-04,  5.272e+02,  9.962e-04,  5.272e+02,        nan,        nan,        nan,        nan
  5.341e+06, -3.877e-05,  4.120e-04, -4.377e-03, -4.120e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  9.666e-04,  5.313e+02,  9.666e-04,  5.313e+02,        nan,        nan,        nan,        nan
  5.382e+06, -3.763e-05,  4.028e-04, -4.313e-03, -4.028e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  9.380e-04,  5.353e+02,  9.380e-04,  5.353e+02,        nan,        nan,        nan,        nan
  5.422e+06, -3.652e-05,  3.939e-04, -4.249e-03, -3.939e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  9.106e-04,  5.393e+02,  9.106e-04,  5.393e+02,        nan,        nan,        nan,        nan
  5.462e+06, -3.546e-05,  3.853e-04, -4.187e-03, -3.853e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.841e-04,  5.433e+02,  8.841e-04,  5.433e+02,        nan,        nan,        nan,        nan
  5.502e+06, -3.443e-05,  3.769e-04, -4.127e-03, -3.769e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.585e-04,  5.474e+02,  8.585e-04,  5.474e+02,        nan,        nan,        nan,        nan
  5.542e+06, -3.344e-05,  3.688e-04, -4.067e-03, -3.688e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.339e-04,  5.514e+02,  8.339e-04,  5.514e+02,        nan,        nan,        nan,        nan
  5.582e+06, -3.249e-05,  3.609e-04, -4.009e-03, -3.609e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  8.102e-04,  5.554e+02,  8.102e-04,  5.554e+02,        nan,        nan,        nan,        nan
  5.622e+06, -3.157e-05,  3.532e-04, -3.952e-03, -3.532e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.873e-04,  5.595e+02,  7.873e-04,  5.595e+02,        nan,        nan,        nan,        nan
  5.663e+06, -3.068e-05,  3.458e-04, -3.897e-03, -3.458e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.652e-04,  5.635e+02,  7.652e-04,  5.635e+02,        nan,        nan,        nan,        nan
  5.703e+06, -2.982e-05,  3.385e-04, -3.842e-03, -3.385e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.439e-04,  5.675e+02,  7.439e-04,  5.675e+02,        nan,        nan,        nan,        nan
  5.743e+06, -2.900e-05,  3.315e-04, -3.789e-03, -3.315e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.233e-04,  5.715e+02,  7.233e-04,  5.715e+02,        nan,        nan,        nan,        nan
  5.783e+06, -2.820e-05,  3.246e-04, -3.737e-03, -3.246e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  7.034e-04,  5.756e+02,  7.034e-04,  5.756e+02,        nan,        nan,        nan,        nan
  5.823e+06, -2.743e-05,  3.179e-04, -3.685e-03, -3.179e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.842e-04,  5.796e+02,  6.842e-04,  5.796e+02,        nan,        nan,        nan,        nan
  5.863e+06, -2.668e-05,  3.114e-04, -3.635e-03, -3.114e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.656e-04,  5.836e+02,  6.656e-04,  5.836e+02,        nan,        nan,        nan,        nan
  5.904e+06, -2.596e-05,  3.051e-04, -3.586e-03, -3.051e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.477e-04,  5.877e+02,  6.477e-04,  5.877e+02,        nan,        nan,        nan,        nan
  5.944e+06, -2.527e-05,  2.990e-04, -3.538e-03, -2.990e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.304e-04,  5.917e+02,  6.304e-04,  5.917e+02,        nan,        nan,        nan,        nan
  5.984e+06, -2.459e-05,  2.930e-04, -3.491e-03, -2.930e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.136e-04,  5.957e+02,  6.136e-04,  5.957e+02,        nan,        nan,        nan,        nan
  6.024e+06, -2.394e-05,  2.872e-04, -3.445e-03, -2.872e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.974e-04,  5.997e+02,  5.974e-04,  5.997e+02,        nan,        nan,        nan,        nan
  6.064e+06, -2.331e-05,  2.815e-04, -3.399e-03, -2.815e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.818e-04,  6.038e+02,  5.818e-04,  6.038e+02,        nan,        nan,        nan,        nan
  6.104e+06, -2.270e-05,  2.760e-04, -3.355e-03, -2.760e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.666e-04,  6.078e+02,  5.666e-04,  6.078e+02,        nan,        nan,        nan,        nan
  6.145e+06, -2.212e-05,  2.706e-04, -3.311e-03, -2.706e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.519e-04,  6.118e+02,  5.519e-04,  6.118e+02,        nan,        nan,        nan,        nan
  6.185e+06, -2.155e-05,  2.654e-04, -3.269e-03, -2.654e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.377e-04,  6.158e+02,  5.377e-04,  6.158e+02,        nan,        nan,        nan,        nan
  6.225e+06, -2.099e-05,  2.603e-04, -3.227e-03, -2.603e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.240e-04,  6.199e+02,  5.240e-04,  6.199e+02,        nan,        nan,        nan,        nan
  6.265e+06, -2.046e-05,  2.553e-04, -3.186e-03, -2.553e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  5.107e-04,  6.239e+02,  5.107e-04,  6.239e+02,        nan,        nan,        nan,        nan
  6.305e+06, -1.994e-05,  2.505e-04, -3.145e-03, -2.505e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.978e-04,  6.279e+02,  4.978e-04,  6.279e+02,        nan,        nan,        nan,        nan
  6.345e+06, -1.944e-05,  2.457e-04, -3.106e-03, -2.457e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.853e-04,  6.319e+02,  4.853e-04,  6.319e+02,        nan,        nan,        nan,        nan
  6.386e+06, -1.896e-05,  2.411e-04, -3.067e-03, -2.411e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.732e-04,  6.360e+02,  4.732e-04,  6.360e+02,        nan,        nan,        nan,        nan
  6.426e+06, -1.849e-05,  2.366e-04, -3.029e-03, -2.366e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.615e-04,  6.400e+02,  4.615e-04,  6.400e+02,        nan,        nan,        nan,        nan
  6.466e+06, -1.803e-05,  2.323e-04, -2.991e-03, -2.322e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.501e-04,  6.440e+02,  4.501e-04,  6.440e+02,        nan,        nan,        nan,        nan
  6.506e+06, -1.759e-05,  2.280e-04, -2.955e-03, -2.280e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.391e-04,  6.480e+02,  4.391e-04,  6.480e+02,        nan,        nan,        nan,        nan
  6.546e+06, -1.716e-05,  2.238e-04, -2.919e-03, -2.238e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.284e-04,  6.521e+02,  4.284e-04,  6.521e+02,        nan,        nan,        nan,        nan
  6.586e+06, -1.675e-05,  2.197e-04, -2.883e-03, -2.197e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.181e-04,  6.561e+02,  4.181e-04,  6.561e+02,        nan,        nan,        nan,        nan
  6.627e+06, -1.634e-05,  2.158e-04, -2.849e-03, -2.158e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  4.080e-04,  6.601e+02,  4.080e-04,  6.601e+02,        nan,        nan,        nan,        nan
  6.667e+06, -1.595e-05,  2.119e-04, -2.814e-03, -2.119e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.983e-04,  6.641e+02,  3.983e-04,  6.641e+02,        nan,        nan,        nan,        nan
  6.707e+06, -1.557e-05,  2.081e-04, -2.781e-03, -2.081e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.888e-04,  6.682e+02,  3.888e-04,  6.682e+02,        nan,        nan,        nan,        nan
  6.747e+06, -1.521e-05,  2.044e-04, -2.748e-03, -2.044e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.797e-04,  6.722e+02,  3.797e-04,  6.722e+02,        nan,        nan,        nan,        nan
  6.787e+06, -1.485e-05,  2.008e-04, -2.716e-03, -2.008e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.708e-04,  6.762e+02,  3.708e-04,  6.762e+02,        nan,        nan,        nan,        nan
  6.827e+06, -1.450e-05,  1.973e-04, -2.684e-03, -1.973e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.621e-04,  6.802e+02,  3.621e-04,  6.802e+02,        nan,        nan,        nan,        nan
  6.867e+06, -1.416e-05,  1.938e-04, -2.653e-03, -1.938e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.537e-04,  6.842e+02,  3.537e-04,  6.842e+02,        nan,        nan,        nan,        nan
  6.908e+06, -1.384e-05,  1.905e-04, -2.622e-03, -1.905e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.456e-04,  6.883e+02,  3.456e-04,  6.883e+02,        nan,        nan,        nan,        nan
  6.948e+06, -1.352e-05,  1.872e-04, -2.592e-03, -1.872e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.376e-04,  6.923e+02,  3.376e-04,  6.923e+02,        nan,        nan,        nan,        nan
  6.988e+06, -1.321e-05,  1.840e-04, -2.562e-03, -1.840e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.300e-04,  6.963e+02,  3.300e-04,  6.963e+02,        nan,        nan,        nan,        nan
  7.028e+06, -1.291e-05,  1.809e-04, -2.533e-03, -1.808e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.225e-04,  7.003e+02,  3.225e-04,  7.003e+02,        nan,        nan,        nan,        nan
  7.068e+06, -1.262e-05,  1.778e-04, -2.505e-03, -1.778e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.152e-04,  7.044e+02,  3.152e-04,  7.044e+02,        nan,        nan,        nan,        nan
  7.108e+06, -1.234e-05,  1.748e-04, -2.476e-03, -1.748e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.081e-04,  7.084e+02,  3.081e-04,  7.084e+02,        nan,        nan,        nan,        nan
  7.149e+06, -1.206e-05,  1.719e-04, -2.449e-03, -1.719e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  3.013e-04,  7.124e+02,  3.013e-04,  7.124e+02,        nan,        nan,        nan,        nan
  7.189e+06, -1.179e-05,  1.690e-04, -2.421e-03, -1.690e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.946e-04,  7.164e+02,  2.946e-04,  7.164e+02,        nan,        nan,        nan,        nan
  7.229e+06, -1.153e-05,  1.662e-04, -2.395e-03, -1.662e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.881e-04,  7.205e+02,  2.881e-04,  7.205e+02,        nan,        nan,        nan,        nan
  7.269e+06, -1.128e-05,  1.635e-04, -2.368e-03, -1.635e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.818e-04,  7.245e+02,  2.818e-04,  7.245e+02,        nan,        nan,        nan,        nan
  7.309e+06, -1.103e-05,  1.608e-04, -2.342e-03, -1.608e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.757e-04,  7.285e+02,  2.757e-04,  7.285e+02,        nan,        nan,        nan,        nan
  7.349e+06, -1.080e-05,  1.582e-04, -2.317e-03, -1.582e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.697e-04,  7.325e+02,  2.697e-04,  7.325e+02,        nan,        nan,        nan,        nan
  7.390e+06, -1.056e-05,  1.556e-04, -2.292e-03, -1.556e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.639e-04,  7.365e+02,  2.639e-04,  7.365e+02,        nan,        nan,        nan,        nan
  7.430e+06, -1.034e-05,  1.531e-04, -2.267e-03, -1.531e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.582e-04,  7.406e+02,  2.582e-04,  7.406e+02,        nan,        nan,        nan,        nan
  7.470e+06, -1.011e-05,  1.506e-04, -2.243e-03, -1.506e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.527e-04,  7.446e+02,  2.527e-04,  7.446e+02,        nan,        nan,        nan,        nan
  7.510e+06, -9.900e-06,  1.482e-04, -2.219e-03, -1.482e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.473e-04,  7.486e+02,  2.473e-04,  7.486e+02,        nan,        nan,        nan,        nan
  7.550e+06, -9.691e-06,  1.459e-04, -2.196e-03, -1.459e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.421e-04,  7.526e+02,  2.421e-04,  7.526e+02,        nan,        nan,        nan,        nan
  7.590e+06, -9.487e-06,  1.436e-04, -2.173e-03, -1.436e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.370e-04,  7.566e+02,  2.370e-04,  7.566e+02,        nan,        nan,        nan,        nan
  7.631e+06, -9.289e-06,  1.413e-04, -2.150e-03, -1.413e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.321e-04,  7.607e+02,  2.321e-04,  7.607e+02,        nan,        nan,        nan,        nan
  7.671e+06, -9.095e-06,  1.391e-04, -2.127e-03, -1.391e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.273e-04,  7.647e+02,  2.273e-04,  7.647e+02,        nan,        nan,        nan,        nan
  7.711e+06, -8.907e-06,  1.369e-04, -2.105e-03, -1.369e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.226e-04,  7.687e+02,  2.226e-04,  7.687e+02,        nan,        nan,        nan,        nan
  7.751e+06, -8.724e-06,  1.348e-04, -2.084e-03, -1.348e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.180e-04,  7.727e+02,  2.180e-04,  7.727e+02,        nan,        nan,        nan,        nan
  7.791e+06, -8.545e-06,  1.327e-04, -2.062e-03, -1.327e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.135e-04,  7.767e+02,  2.135e-04,  7.767e+02,        nan,        nan,        nan,        nan
  7.831e+06, -8.371e-06,  1.307e-04, -2.041e-03, -1.307e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.092e-04,  7.808e+02,  2.092e-04,  7.808e+02,        nan,        nan,        nan,        nan
  7.871e+06, -8.201e-06,  1.287e-04, -2.020e-03, -1.287e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.049e-04,  7.848e+02,  2.049e-04,  7.848e+02,        nan,        nan,        nan,        nan
  7.912e+06, -8.036e-06,  1.268e-04, -2.000e-03, -1.268e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  2.008e-04,  7.888e+02,  2.008e-04,  7.888e+02,        nan,        nan,        nan,        nan
  7.952e+06, -7.875e-06,  1.249e-04, -1.980e-03, -1.249e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.968e-04,  7.928e+02,  1.968e-04,  7.928e+02,        nan,        nan,        nan,        nan
  7.992e+06, -7.717e-06,  1.230e-04, -1.960e-03, -1.230e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.929e-04,  7.968e+02,  1.929e-04,  7.968e+02,        nan,        nan,        nan,        nan
  8.032e+06, -7.564e-06,  1.212e-04, -1.941e-03, -1.212e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.890e-04,  8.009e+02,  1.890e-04,  8.009e+02,        nan,        nan,        nan,        nan
  8.072e+06, -7.414e-06,  1.194e-04, -1.921e-03, -1.194e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.853e-04,  8.049e+02,  1.853e-04,  8.049e+02,        nan,        nan,        nan,        nan
  8.112e+06, -7.269e-06,  1.176e-04, -1.902e-03, -1.176e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.817e-04,  8.089e+02,  1.817e-04,  8.089e+02,        nan,        nan,        nan,        nan
  8.153e+06, -7.126e-06,  1.159e-04, -1.884e-03, -1.159e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.781e-04,  8.129e+02,  1.781e-04,  8.129e+02,        nan,        nan,        nan,        nan
  8.193e+06, -6.987e-06,  1.142e-04, -1.865e-03, -1.142e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.746e-04,  8.169e+02,  1.746e-04,  8.169e+02,        nan,        nan,        nan,        nan
  8.233e+06, -6.852e-06,  1.125e-04, -1.847e-03, -1.125e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.713e-04,  8.210e+02,  1.713e-04,  8.210e+02,        nan,        nan,        nan,        nan
  8.273e+06, -6.720e-06,  1.109e-04, -1.829e-03, -1.109e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.679e-04,  8.250e+02,  1.679e-04,  8.250e+02,        nan,        nan,        nan,        nan
  8.313e+06, -6.591e-06,  1.093e-04, -1.812e-03, -1.093e-04,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  1.647e-04,  8.290e+02,  1.647e-04,  8.290e+02,        nan,        nan,        nan,        nan
