       Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),     Re(Av),     Im(Av),     Re(Ai),     Im(Ai)
  4.898e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  1.948e+04,  6.200e+01,  1.948e+04,  8.169e-06, -2.567e-03,  1.000e+00,  0.000e+00
  5.102e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.029e+04,  6.200e+01,  2.029e+04,  7.529e-06, -2.464e-03,  1.000e+00,  0.000e+00
  5.306e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.110e+04,  6.200e+01,  2.110e+04,  6.961e-06, -2.369e-03,  1.000e+00,  0.000e+00
  5.510e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.192e+04,  6.200e+01,  2.192e+04,  6.455e-06, -2.282e-03,  1.000e+00,  0.000e+00
  5.714e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.273e+04,  6.200e+01,  2.273e+04,  6.002e-06, -2.200e-03,  1.000e+00,  0.000e+00
  5.918e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.354e+04,  6.200e+01,  2.354e+04,  5.595e-06, -2.124e-03,  1.000e+00,  0.000e+00
  6.122e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.435e+04,  6.200e+01,  2.435e+04,  5.228e-06, -2.053e-03,  1.000e+00,  0.000e+00
  6.327e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.516e+04,  6.200e+01,  2.516e+04,  4.896e-06, -1.987e-03,  1.000e+00,  0.000e+00
  6.531e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.597e+04,  6.200e+01,  2.597e+04,  4.595e-06, -1.925e-03,  1.000e+00,  0.000e+00
  6.735e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.679e+04,  6.200e+01,  2.679e+04,  4.321e-06, -1.867e-03,  1.000e+00,  0.000e+00
  6.939e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.760e+04,  6.200e+01,  2.760e+04,  4.070e-06, -1.812e-03,  1.000e+00,  0.000e+00
  7.143e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.841e+04,  6.200e+01,  2.841e+04,  3.841e-06, -1.760e-03,  1.000e+00,  0.000e+00
  7.347e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  2.922e+04,  6.200e+01,  2.922e+04,  3.631e-06, -1.711e-03,  1.000e+00,  0.000e+00
  7.551e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.003e+04,  6.200e+01,  3.003e+04,  3.437e-06, -1.665e-03,  1.000e+00,  0.000e+00
  7.755e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.084e+04,  6.200e+01,  3.084e+04,  3.259e-06, -1.621e-03,  1.000e+00,  0.000e+00
  7.959e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.166e+04,  6.200e+01,  3.166e+04,  3.094e-06, -1.579e-03,  1.000e+00,  0.000e+00
  8.163e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.247e+04,  6.200e+01,  3.247e+04,  2.941e-06, -1.540e-03,  1.000e+00,  0.000e+00
  8.367e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.328e+04,  6.200e+01,  3.328e+04,  2.799e-06, -1.502e-03,  1.000e+00,  0.000e+00
  8.571e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.409e+04,  6.200e+01,  3.409e+04,  2.667e-06, -1.467e-03,  1.000e+00,  0.000e+00
  8.776e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.490e+04,  6.200e+01,  3.490e+04,  2.545e-06, -1.433e-03,  1.000e+00,  0.000e+00
  8.980e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.571e+04,  6.200e+01,  3.571e+04,  2.430e-06, -1.400e-03,  1.000e+00,  0.000e+00
  9.184e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.653e+04,  6.200e+01,  3.653e+04,  2.324e-06, -1.369e-03,  1.000e+00,  0.000e+00
  9.388e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.734e+04,  6.200e+01,  3.734e+04,  2.224e-06, -1.339e-03,  1.000e+00,  0.000e+00
  9.592e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.815e+04,  6.200e+01,  3.815e+04,  2.130e-06, -1.311e-03,  1.000e+00,  0.000e+00
  9.796e+06,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.896e+04,  6.200e+01,  3.896e+04,  2.042e-06, -1.283e-03,  1.000e+00,  0.000e+00
  1.000e+07,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,        nan,  6.200e+01,  3.977e+04,  6.200e+01,  3.977e+04,  1.960e-06, -1.257e-03,  1.000e+00,  0.000e+00
